,condition,correct,correct_response,exp_stage,key_press,possible_responses,rt,stim_color,stim_word,trial_type,worker_id
stroop_0_63,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",552,red,red,poldrack-categorize,s002
stroop_0_65,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",532,blue,green,poldrack-categorize,s002
stroop_0_67,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",942,green,red,poldrack-categorize,s002
stroop_0_69,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",772,red,red,poldrack-categorize,s002
stroop_0_71,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",612,red,red,poldrack-categorize,s002
stroop_0_73,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",1011,red,blue,poldrack-categorize,s002
stroop_0_75,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",1434,blue,blue,poldrack-categorize,s002
stroop_0_77,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",591,red,red,poldrack-categorize,s002
stroop_0_79,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",942,red,green,poldrack-categorize,s002
stroop_0_81,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",598,red,red,poldrack-categorize,s002
stroop_0_83,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",560,blue,blue,poldrack-categorize,s002
stroop_0_85,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",942,red,red,poldrack-categorize,s002
stroop_0_87,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",592,red,red,poldrack-categorize,s002
stroop_0_89,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",422,green,green,poldrack-categorize,s002
stroop_0_91,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",460,green,green,poldrack-categorize,s002
stroop_0_93,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",510,green,green,poldrack-categorize,s002
stroop_0_95,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",1021,green,green,poldrack-categorize,s002
stroop_0_97,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",602,blue,green,poldrack-categorize,s002
stroop_0_99,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",1041,green,red,poldrack-categorize,s002
stroop_0_101,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",710,blue,green,poldrack-categorize,s002
stroop_0_103,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",916,green,red,poldrack-categorize,s002
stroop_0_105,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",732,red,blue,poldrack-categorize,s002
stroop_0_107,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",631,green,green,poldrack-categorize,s002
stroop_0_109,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",721,green,green,poldrack-categorize,s002
stroop_0_111,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",779,blue,red,poldrack-categorize,s002
stroop_0_113,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",962,green,red,poldrack-categorize,s002
stroop_0_115,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",680,red,red,poldrack-categorize,s002
stroop_0_117,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",781,red,blue,poldrack-categorize,s002
stroop_0_119,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",613,red,red,poldrack-categorize,s002
stroop_0_121,incongruent,0.0,82.0,test,-1.0,"[66, 71, 82]",-1,red,blue,poldrack-categorize,s002
stroop_0_123,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",722,green,green,poldrack-categorize,s002
stroop_0_125,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",582,blue,blue,poldrack-categorize,s002
stroop_0_127,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",459,green,green,poldrack-categorize,s002
stroop_0_129,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",882,blue,red,poldrack-categorize,s002
stroop_0_131,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",585,red,green,poldrack-categorize,s002
stroop_0_133,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",562,green,green,poldrack-categorize,s002
stroop_0_135,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",953,green,blue,poldrack-categorize,s002
stroop_0_137,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",552,blue,blue,poldrack-categorize,s002
stroop_0_139,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",471,red,red,poldrack-categorize,s002
stroop_0_141,congruent,0.0,71.0,test,66.0,"[66, 71, 82]",632,green,green,poldrack-categorize,s002
stroop_0_143,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",780,green,green,poldrack-categorize,s002
stroop_0_145,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",923,green,blue,poldrack-categorize,s002
stroop_0_147,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",931,blue,red,poldrack-categorize,s002
stroop_0_149,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",502,red,green,poldrack-categorize,s002
stroop_0_151,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",834,red,red,poldrack-categorize,s002
stroop_0_153,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",942,blue,blue,poldrack-categorize,s002
stroop_0_155,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",660,red,red,poldrack-categorize,s002
stroop_0_157,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",781,red,green,poldrack-categorize,s002
stroop_0_159,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",1032,green,red,poldrack-categorize,s002
stroop_0_161,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",792,blue,green,poldrack-categorize,s002
stroop_0_163,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",660,blue,blue,poldrack-categorize,s002
stroop_0_165,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",940,green,blue,poldrack-categorize,s002
stroop_0_167,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",851,green,blue,poldrack-categorize,s002
stroop_0_169,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",654,blue,blue,poldrack-categorize,s002
stroop_0_171,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",612,blue,blue,poldrack-categorize,s002
stroop_0_173,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",740,green,blue,poldrack-categorize,s002
stroop_0_175,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",660,red,green,poldrack-categorize,s002
stroop_0_177,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",991,blue,red,poldrack-categorize,s002
stroop_0_179,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",921,blue,red,poldrack-categorize,s002
stroop_0_181,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",732,red,green,poldrack-categorize,s002
stroop_0_183,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",642,green,green,poldrack-categorize,s002
stroop_0_185,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",625,red,red,poldrack-categorize,s002
stroop_0_187,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",643,blue,blue,poldrack-categorize,s002
stroop_0_189,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",592,blue,red,poldrack-categorize,s002
stroop_0_191,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",662,blue,blue,poldrack-categorize,s002
stroop_0_193,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",823,blue,red,poldrack-categorize,s002
stroop_0_195,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",660,green,blue,poldrack-categorize,s002
stroop_0_197,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",831,green,red,poldrack-categorize,s002
stroop_0_199,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",702,red,blue,poldrack-categorize,s002
stroop_0_201,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",712,blue,blue,poldrack-categorize,s002
stroop_0_203,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",672,red,green,poldrack-categorize,s002
stroop_0_205,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",706,blue,green,poldrack-categorize,s002
stroop_0_207,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",613,blue,blue,poldrack-categorize,s002
stroop_0_209,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",744,red,blue,poldrack-categorize,s002
stroop_0_211,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",822,green,blue,poldrack-categorize,s002
stroop_0_213,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",1034,green,green,poldrack-categorize,s002
stroop_0_215,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",780,red,blue,poldrack-categorize,s002
stroop_0_217,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",720,blue,red,poldrack-categorize,s002
stroop_0_219,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",786,green,green,poldrack-categorize,s002
stroop_0_221,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",572,red,red,poldrack-categorize,s002
stroop_0_223,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",580,red,green,poldrack-categorize,s002
stroop_0_225,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",723,blue,green,poldrack-categorize,s002
stroop_0_227,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",872,green,red,poldrack-categorize,s002
stroop_0_229,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",698,blue,green,poldrack-categorize,s002
stroop_0_231,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",630,blue,blue,poldrack-categorize,s002
stroop_0_233,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",613,green,green,poldrack-categorize,s002
stroop_0_235,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",673,blue,blue,poldrack-categorize,s002
stroop_0_237,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",782,blue,green,poldrack-categorize,s002
stroop_0_239,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",742,green,green,poldrack-categorize,s002
stroop_0_241,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",584,red,red,poldrack-categorize,s002
stroop_0_243,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",641,blue,blue,poldrack-categorize,s002
stroop_1_4,incongruent,0.0,71.0,practice,-1.0,"[66, 71, 82]",-1,green,red,poldrack-categorize,s005
stroop_1_6,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",913,blue,blue,poldrack-categorize,s005
stroop_1_8,incongruent,1.0,66.0,practice,66.0,"[66, 71, 82]",1050,blue,green,poldrack-categorize,s005
stroop_1_10,incongruent,1.0,71.0,practice,71.0,"[66, 71, 82]",1212,green,red,poldrack-categorize,s005
stroop_1_12,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",438,red,red,poldrack-categorize,s005
stroop_1_14,incongruent,1.0,66.0,practice,66.0,"[66, 71, 82]",466,blue,red,poldrack-categorize,s005
stroop_1_16,incongruent,1.0,82.0,practice,82.0,"[66, 71, 82]",438,red,green,poldrack-categorize,s005
stroop_1_18,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",511,blue,blue,poldrack-categorize,s005
stroop_1_20,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",572,red,red,poldrack-categorize,s005
stroop_1_22,incongruent,1.0,66.0,practice,66.0,"[66, 71, 82]",642,blue,red,poldrack-categorize,s005
stroop_1_24,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",530,red,red,poldrack-categorize,s005
stroop_1_26,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",453,green,green,poldrack-categorize,s005
stroop_1_28,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",483,green,green,poldrack-categorize,s005
stroop_1_30,incongruent,1.0,66.0,practice,66.0,"[66, 71, 82]",763,blue,green,poldrack-categorize,s005
stroop_1_32,incongruent,1.0,82.0,practice,82.0,"[66, 71, 82]",411,red,blue,poldrack-categorize,s005
stroop_1_34,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",562,green,green,poldrack-categorize,s005
stroop_1_36,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",546,blue,blue,poldrack-categorize,s005
stroop_1_38,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",458,red,red,poldrack-categorize,s005
stroop_1_40,incongruent,1.0,82.0,practice,82.0,"[66, 71, 82]",698,red,green,poldrack-categorize,s005
stroop_1_42,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",572,blue,blue,poldrack-categorize,s005
stroop_1_44,incongruent,1.0,82.0,practice,82.0,"[66, 71, 82]",769,red,blue,poldrack-categorize,s005
stroop_1_46,incongruent,1.0,71.0,practice,71.0,"[66, 71, 82]",855,green,blue,poldrack-categorize,s005
stroop_1_48,incongruent,1.0,71.0,practice,71.0,"[66, 71, 82]",542,green,blue,poldrack-categorize,s005
stroop_1_50,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",650,green,green,poldrack-categorize,s005
stroop_1_53,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",620,red,blue,poldrack-categorize,s005
stroop_1_55,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",513,red,red,poldrack-categorize,s005
stroop_1_57,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",522,green,red,poldrack-categorize,s005
stroop_1_59,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",633,green,green,poldrack-categorize,s005
stroop_1_61,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",503,red,red,poldrack-categorize,s005
stroop_1_63,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",630,red,red,poldrack-categorize,s005
stroop_1_65,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",507,green,green,poldrack-categorize,s005
stroop_1_67,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",619,green,green,poldrack-categorize,s005
stroop_1_69,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",585,green,green,poldrack-categorize,s005
stroop_1_71,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",639,blue,green,poldrack-categorize,s005
stroop_1_73,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",730,green,green,poldrack-categorize,s005
stroop_1_75,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",537,blue,blue,poldrack-categorize,s005
stroop_1_77,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",508,red,red,poldrack-categorize,s005
stroop_1_79,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",491,green,green,poldrack-categorize,s005
stroop_1_81,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",702,red,blue,poldrack-categorize,s005
stroop_1_83,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",566,red,green,poldrack-categorize,s005
stroop_1_85,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",535,red,red,poldrack-categorize,s005
stroop_1_87,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",505,blue,blue,poldrack-categorize,s005
stroop_1_89,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",508,red,green,poldrack-categorize,s005
stroop_1_91,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",585,red,red,poldrack-categorize,s005
stroop_1_93,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",665,green,blue,poldrack-categorize,s005
stroop_1_95,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",495,green,green,poldrack-categorize,s005
stroop_1_97,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",395,blue,green,poldrack-categorize,s005
stroop_1_99,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",852,blue,red,poldrack-categorize,s005
stroop_1_101,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",635,green,blue,poldrack-categorize,s005
stroop_1_103,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",687,green,blue,poldrack-categorize,s005
stroop_1_105,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",362,blue,red,poldrack-categorize,s005
stroop_1_107,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",553,green,green,poldrack-categorize,s005
stroop_1_109,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",727,blue,blue,poldrack-categorize,s005
stroop_1_111,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",636,green,green,poldrack-categorize,s005
stroop_1_113,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",478,red,blue,poldrack-categorize,s005
stroop_1_115,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",433,blue,red,poldrack-categorize,s005
stroop_1_117,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",617,red,red,poldrack-categorize,s005
stroop_1_119,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",619,blue,green,poldrack-categorize,s005
stroop_1_121,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",466,blue,blue,poldrack-categorize,s005
stroop_1_123,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",494,green,green,poldrack-categorize,s005
stroop_1_125,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",468,red,red,poldrack-categorize,s005
stroop_1_127,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",484,blue,blue,poldrack-categorize,s005
stroop_1_129,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",747,red,red,poldrack-categorize,s005
stroop_1_131,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",473,green,blue,poldrack-categorize,s005
stroop_1_133,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",619,green,blue,poldrack-categorize,s005
stroop_1_135,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",501,blue,blue,poldrack-categorize,s005
stroop_1_137,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",406,blue,blue,poldrack-categorize,s005
stroop_1_139,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",465,blue,red,poldrack-categorize,s005
stroop_1_141,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",523,green,blue,poldrack-categorize,s005
stroop_1_143,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",823,blue,green,poldrack-categorize,s005
stroop_1_145,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",590,green,red,poldrack-categorize,s005
stroop_1_147,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",509,blue,blue,poldrack-categorize,s005
stroop_1_149,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",625,blue,green,poldrack-categorize,s005
stroop_1_151,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",455,red,red,poldrack-categorize,s005
stroop_1_153,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",458,blue,green,poldrack-categorize,s005
stroop_1_155,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",530,red,red,poldrack-categorize,s005
stroop_1_157,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",559,blue,blue,poldrack-categorize,s005
stroop_1_159,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",866,green,red,poldrack-categorize,s005
stroop_1_161,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",483,blue,red,poldrack-categorize,s005
stroop_1_163,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",572,green,green,poldrack-categorize,s005
stroop_1_165,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",549,blue,blue,poldrack-categorize,s005
stroop_1_167,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",656,blue,blue,poldrack-categorize,s005
stroop_1_169,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",696,blue,green,poldrack-categorize,s005
stroop_1_171,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",560,red,blue,poldrack-categorize,s005
stroop_1_173,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",470,green,blue,poldrack-categorize,s005
stroop_1_175,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",505,green,green,poldrack-categorize,s005
stroop_1_177,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",606,green,green,poldrack-categorize,s005
stroop_1_179,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",582,green,red,poldrack-categorize,s005
stroop_1_181,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",676,red,blue,poldrack-categorize,s005
stroop_1_183,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",568,blue,green,poldrack-categorize,s005
stroop_1_185,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",642,red,green,poldrack-categorize,s005
stroop_1_187,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",676,blue,red,poldrack-categorize,s005
stroop_1_189,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",592,red,red,poldrack-categorize,s005
stroop_1_191,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",669,red,green,poldrack-categorize,s005
stroop_1_193,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",638,green,blue,poldrack-categorize,s005
stroop_1_195,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",614,red,green,poldrack-categorize,s005
stroop_1_197,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",703,red,blue,poldrack-categorize,s005
stroop_1_199,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",437,blue,blue,poldrack-categorize,s005
stroop_1_201,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",535,blue,blue,poldrack-categorize,s005
stroop_1_203,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",635,blue,red,poldrack-categorize,s005
stroop_1_205,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",494,red,green,poldrack-categorize,s005
stroop_1_207,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",520,red,blue,poldrack-categorize,s005
stroop_1_209,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",576,green,green,poldrack-categorize,s005
stroop_1_211,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",576,red,green,poldrack-categorize,s005
stroop_1_213,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",736,green,red,poldrack-categorize,s005
stroop_1_215,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",580,green,red,poldrack-categorize,s005
stroop_1_217,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",559,red,blue,poldrack-categorize,s005
stroop_1_219,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",509,blue,blue,poldrack-categorize,s005
stroop_1_221,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",678,green,red,poldrack-categorize,s005
stroop_1_223,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",596,green,green,poldrack-categorize,s005
stroop_1_225,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",522,blue,blue,poldrack-categorize,s005
stroop_1_227,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",587,green,green,poldrack-categorize,s005
stroop_1_229,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",549,red,green,poldrack-categorize,s005
stroop_1_231,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",551,red,red,poldrack-categorize,s005
stroop_1_233,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",602,red,red,poldrack-categorize,s005
stroop_1_235,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",630,green,red,poldrack-categorize,s005
stroop_1_237,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",618,red,red,poldrack-categorize,s005
stroop_1_239,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",618,red,red,poldrack-categorize,s005
stroop_1_241,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",496,blue,blue,poldrack-categorize,s005
stroop_1_243,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",572,blue,red,poldrack-categorize,s005
stroop_2_4,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",1265,red,red,poldrack-categorize,s006
stroop_2_6,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",1453,blue,blue,poldrack-categorize,s006
stroop_2_8,incongruent,1.0,66.0,practice,66.0,"[66, 71, 82]",1367,blue,green,poldrack-categorize,s006
stroop_2_10,incongruent,0.0,71.0,practice,-1.0,"[66, 71, 82]",-1,green,red,poldrack-categorize,s006
stroop_2_12,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",813,blue,blue,poldrack-categorize,s006
